PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
060104,1,8,8,5,6,9,5,2,3) # of groups=5,0.4543328456695213,5.0
060107,0,0,3,0,0,5,2,0,,-0.0259484446655114,N/A
060112,1,8,10,6,8,10,5,2,3) # of groups=5,0.7496460722020064,5.0
060113,1,8,8,6,7,9,5,2,3) # of groups=5,0.0973804153040622,4.0
060114,1,8,10,6,8,10,5,2,3) # of groups=5,0.5794706551036988,5.0
060116,1,8,8,5,6,9,5,2,3) # of groups=5,0.6694587480662948,5.0
060117,0,8,3,0,2,5,3,0,1) # of groups=3,1.1743802864209938,N/A
060118,0,8,2,0,1,9,2,0,,0.1211094652925221,N/A
060119,1,8,11,7,7,11,5,2,3) # of groups=5,0.384312675036217,4.0
060124,0,8,3,0,2,2,2,0,,1.757613035213486,N/A
060125,1,8,7,4,5,9,5,2,3) # of groups=5,0.2655369196262998,4.0
060126,0,8,3,0,2,8,3,0,1) # of groups=3,0.3525584944925181,N/A
060128,1,8,6,6,5,9,5,2,3) # of groups=5,0.3635206839192791,4.0
060129,1,0,3,0,3,6,3,1,1) # of groups=3,0.693328911745326,5.0
060130,0,8,3,0,2,5,3,0,1) # of groups=3,0.945285567930468,N/A
060131,1,8,8,5,5,10,5,2,3) # of groups=5,0.2415986138082393,4.0
060132,1,8,8,5,6,9,5,2,3) # of groups=5,0.6935328899718706,5.0
061300,0,0,0,0,0,2,0,0,,1.5599991221429033,N/A
061301,1,8,4,3,0,4,4,1,2) # of groups=4,0.8699947600728052,5.0
061302,0,0,1,0,1,4,1,0,,0.0340511342793063,N/A
061303,0,0,3,1,0,7,2,0,,0.3831732434357753,N/A
061304,0,0,1,0,1,2,0,0,,1.085274084693343,N/A
061305,0,0,1,0,0,5,1,0,,-0.8599866112966115,N/A
061306,0,0,1,0,0,0,0,0,,-2.4437147624131925,N/A
061307,0,0,0,0,1,1,0,0,,1.6021456776582097,N/A
061308,0,0,1,0,0,5,1,0,,1.1276710577386175,N/A
061309,0,0,4,0,1,6,2,0,,0.5470258484028349,N/A
061310,0,0,3,0,0,4,2,0,,-0.5225439251738307,N/A
061311,0,0,2,1,0,7,1,0,,-0.0833012357368055,N/A
061312,0,0,2,0,0,2,0,0,,0.3897192008772101,N/A
061313,0,0,1,0,0,5,1,0,,0.7768417358248612,N/A
061314,0,0,6,0,1,5,2,0,,0.3645205681903405,N/A
061315,0,0,1,0,0,3,1,0,,0.5577609256279668,N/A
061316,0,0,2,0,1,4,1,0,,0.3044053802103433,N/A
061317,0,0,1,0,1,7,1,0,,-0.9234512823369068,N/A
061318,0,0,3,0,1,3,2,0,,-0.199277447115488,N/A
061319,0,0,1,0,0,3,1,0,,0.1154519510884937,N/A
061320,0,0,3,0,0,4,2,0,,-0.4494566923093955,N/A
061321,0,0,2,1,0,3,1,0,,1.4886929211344024,N/A
061322,0,8,4,1,1,3,3,0,1) # of groups=3,-0.1838654846840098,N/A
061324,0,0,3,0,0,6,2,0,,-0.570306839149448,N/A
